freq_Hz,anechoic_dB,inroom_dB,level_corr_dB,post_dsp_dB,room_gain_dB,room_hf_abs_dB,room_tf_dB,harman_target_dB,dsp_correction_dB,dsp_correction_smoothed_dB,woofer_dB,mid_dB,tweeter_dB
82.07,-3.6789,3.6986,3.6986,2.0898,7.3775,-0.0000,7.3775,2.0914,-1.6072,-1.6088,-3.8753,-36.6908,-149.2384
82.36,-3.6697,3.6774,3.6774,2.0839,7.3472,-0.0000,7.3472,2.0855,-1.5919,-1.5936,-3.8694,-36.5413,-149.1166
82.65,-3.6606,3.6563,3.6563,2.0780,7.3168,-0.0000,7.3168,2.0796,-1.5767,-1.5783,-3.8635,-36.3917,-148.9949
82.94,-3.6514,3.6352,3.6352,2.0721,7.2865,-0.0000,7.2865,2.0737,-1.5615,-1.5631,-3.8576,-36.2420,-148.8732
83.23,-3.6421,3.6141,3.6141,2.0662,7.2562,-0.0000,7.2562,2.0677,-1.5464,-1.5479,-3.8518,-36.0922,-148.7515
83.52,-3.6328,3.5931,3.5931,2.0604,7.2259,-0.0000,7.2259,2.0618,-1.5313,-1.5327,-3.8459,-35.9423,-148.6298
83.81,-3.6234,3.5722,3.5722,2.0546,7.1955,-0.0000,7.1955,2.0559,-1.5163,-1.5176,-3.8400,-35.7923,-148.5081
84.11,-3.6139,3.5513,3.5513,2.0488,7.1652,-0.0000,7.1652,2.0499,-1.5014,-1.5025,-3.8342,-35.6422,-148.3864
84.40,-3.6044,3.5304,3.5304,2.0431,7.1349,-0.0000,7.1349,2.0440,-1.4865,-1.4874,-3.8283,-35.4920,-148.2647
84.70,-3.5949,3.5097,3.5097,2.0373,7.1046,-0.0000,7.1046,2.0380,-1.4717,-1.4723,-3.8225,-35.3416,-148.1429
84.99,-3.5857,3.4886,3.4886,2.0312,7.0742,-0.0000,7.0742,2.0320,-1.4565,-1.4573,-3.8166,-35.2063,-148.0212
85.29,-3.5765,3.4674,3.4674,2.0250,7.0439,-0.0000,7.0439,2.0261,-1.4413,-1.4424,-3.8108,-35.0749,-147.8995
85.59,-3.5673,3.4463,3.4463,2.0188,7.0136,-0.0000,7.0136,2.0201,-1.4262,-1.4274,-3.8050,-34.9435,-147.7778
