freq_Hz,woofer_mag_dB,woofer_phase_deg,mid_mag_dB,mid_phase_deg,tweeter_mag_dB,tweeter_phase_deg,sum_mag_dB,sum_phase_deg
45.525,-0.0734,-50.6065,-41.5003,123.4888,-115.0925,174.0952,-0.1470,-50.5561
45.800,-0.0752,-50.9272,-41.2936,123.1325,-114.8840,174.0596,-0.1506,-50.8753
46.075,-0.0770,-51.2501,-41.0869,122.7737,-114.6755,174.0239,-0.1542,-51.1966
46.353,-0.0788,-51.5753,-40.8803,122.4126,-114.4670,173.9879,-0.1580,-51.5201
46.632,-0.0808,-51.9026,-40.6737,122.0490,-114.2584,173.9516,-0.1618,-51.8458
46.912,-0.0827,-52.2323,-40.4672,121.6829,-114.0499,173.9152,-0.1657,-52.1737
47.195,-0.0847,-52.5641,-40.2606,121.3144,-113.8414,173.8785,-0.1698,-52.5038
47.479,-0.0868,-52.8983,-40.0542,120.9434,-113.6329,173.8416,-0.1739,-52.8361
47.764,-0.0888,-53.2347,-39.8478,120.5698,-113.4244,173.8045,-0.1781,-53.1706
48.052,-0.0910,-53.5735,-39.6414,120.1937,-113.2159,173.7672,-0.1824,-53.5074
48.341,-0.0932,-53.9146,-39.4351,119.8150,-113.0074,173.7297,-0.1868,-53.8465
48.632,-0.0954,-54.2581,-39.2289,119.4338,-112.7989,173.6919,-0.1914,-54.1879
48.925,-0.0978,-54.6039,-39.0227,119.0499,-112.5904,173.6539,-0.1960,-54.5315
49.219,-0.1001,-54.9522,-38.8165,118.6635,-112.3819,173.6156,-0.2008,-54.8775
49.516,-0.1025,-55.3028,-38.6105,118.2744,-112.1734,173.5772,-0.2056,-55.2259
49.814,-0.1050,-55.6559,-38.4044,117.8826,-111.9649,173.5385,-0.2106,-55.5766
50.114,-0.1075,-56.0114,-38.1985,117.4882,-111.7564,173.4995,-0.2157,-55.9297
50.415,-0.1101,-56.3693,-37.9926,117.0910,-111.5479,173.4604,-0.2210,-56.2851
50.719,-0.1128,-56.7298,-37.7867,116.6912,-111.3394,173.4209,-0.2263,-56.6430
51.024,-0.1155,-57.0927,-37.5809,116.2886,-111.1309,173.3813,-0.2318,-57.0033
51.331,-0.1183,-57.4582,-37.3752,115.8832,-110.9224,173.3414,-0.2374,-57.3660
51.640,-0.1212,-57.8263,-37.1696,115.4750,-110.7139,173.3013,-0.2432,-57.7312
51.951,-0.1241,-58.1969,-36.9640,115.0641,-110.5054,173.2609,-0.2491,-58.0988
52.264,-0.1271,-58.5700,-36.7585,114.6503,-110.2969,173.2203,-0.2551,-58.4690
52.578,-0.1301,-58.9458,-36.5530,114.2337,-110.0884,173.1795,-0.2613,-58.8417
52.895,-0.1333,-59.3242,-36.3477,113.8142,-109.8799,173.1384,-0.2677,-59.2169
53.213,-0.1365,-59.7052,-36.1424,113.3918,-109.6714,173.0970,-0.2741,-59.5946
53.533,-0.1398,-60.0890,-35.9372,112.9664,-109.4629,173.0554,-0.2808,-59.9749
53.856,-0.1431,-60.4754,-35.7320,112.5382,-109.2544,173.0136,-0.2876,-60.3578
54.180,-0.1466,-60.8645,-35.5270,112.1070,-109.0459,172.9714,-0.2946,-60.7432
54.506,-0.1501,-61.2563,-35.3220,111.6728,-108.8374,172.9291,-0.3017,-61.1313
