freq_Hz,woofer_dB,mid_dB,tweeter_raw_dB,tweeter_trimmed_dB,system_sum_raw_dB,system_sum_matched_dB
289.499,61.5133,89.0705,12.7437,5.7437,89.4283,89.4276
290.645,61.3855,89.0793,12.9773,5.9773,89.4316,89.4309
291.795,61.2575,89.0879,13.2108,6.2108,89.4349,89.4342
292.951,61.1294,89.0964,13.4443,6.4443,89.4382,89.4374
294.110,61.0012,89.1048,13.6778,6.6778,89.4413,89.4405
295.275,60.8728,89.1130,13.9112,6.9112,89.4445,89.4436
296.444,60.7444,89.1211,14.1445,7.1445,89.4475,89.4467
297.618,60.6158,89.1290,14.3779,7.3779,89.4505,89.4497
298.796,60.4870,89.1368,14.6112,7.6112,89.4535,89.4526
299.979,60.3582,89.1445,14.8445,7.8445,89.4564,89.4555
301.167,60.2292,89.1521,15.0777,8.0777,89.4592,89.4583
302.359,60.1001,89.1595,15.3109,8.3109,89.4620,89.4611
303.556,59.9708,89.1668,15.5440,8.5440,89.4648,89.4638
304.758,59.8415,89.1740,15.7771,8.7771,89.4675,89.4665
305.964,59.7120,89.1811,16.0102,9.0102,89.4701,89.4691
307.176,59.5825,89.1880,16.2432,9.2432,89.4727,89.4716
308.392,59.4528,89.1949,16.4761,9.4761,89.4752,89.4742
309.613,59.3230,89.2016,16.7091,9.7091,89.4777,89.4766
310.839,59.1931,89.2082,16.9420,9.9420,89.4802,89.4790
312.069,59.0631,89.2146,17.1748,10.1748,89.4826,89.4814
